PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1993_NEW_HAMPSHIRE,NEW_HAMPSHIRE,1993,177722,1109743,34680,84342,990721,1091814,611158,322618,34802,42172,1292,8194,15630,14118,10635,126173,49098,176563,,,,
1993_NEW_JERSEY,NEW_JERSEY,1993,653488,6747567,331924,3104597,3311046,6641624,3676378,2092298,203775,342746,9225,90827,84767,79459,64402,685132,288263,982620,,,,
1993_NEW_MEXICO,NEW_MEXICO,1993,281407,1217194,154018,897725,165451,1223185,587753,427793,62453,128202,1933,23723,24182,24899,16767,200631,87768,290332,,,,
1993_NEW_YORK,NEW_YORK,1993,2663637,22688753,1276362,8848470,12563921,23934282,14029639,6425626,935895,1625848,31687,205238,198259,188274,143055,1608489,743933,2384109,,,,
1993_NORTH_CAROLINA,NORTH_CAROLINA,1993,1112636,5583166,433602,3388466,1761098,5475174,3037814,1525471,345822,480317,8469,93406,85989,86093,60856,705410,305060,1018939,,,,
1993_NORTH_DAKOTA,NORTH_DAKOTA,1993,118793,580148,56254,243783,280111,588983,310940,156042,44647,41585,615,8752,9266,9329,8066,74760,35000,110375,,,,
1993_OHIO,OHIO,1993,1834239,10841606,509488,4156070,6176048,10385253,5522474,3653046,451400,588386,17210,140778,136317,141534,111932,1127686,517122,1662018,,,,
1993_OKLAHOMA,OKLAHOMA,1993,312817,1436505,99809,802783,533913,1428916,726475,457062,113582,113949,5456,44864,48242,46153,34744,389548,162511,557515,,,,
1993_OREGON,OREGON,1993,509814,3141217,196584,1180698,1763935,3149126,1712282,1053438,98785,209804,837,37859,41290,39500,32828,327629,147819,476285,,,,
1993_PENNSYLVANIA,PENNSYLVANIA,1993,1719829,12269422,695807,4781408,6792207,12809067,6856146,3622113,684867,966827,4181,131842,131575,130209,107244,1079271,496382,1579834,,,,
