State Name,American Indian/Alaska Native Students ,Asian or Asian/Pacific Islander Students ,Black Students ,Hispanic Students ,White Students ,Hawaiian Nat./Pacific Isl. Students ,Two or More Races Students,Year
BUREAU OF INDIAN EDUCATION,–,–,–,–,–,–,–,2014
CALIFORNIA,38616,694285,384291,3321274,1559113,32821,206272,2014
COLORADO,6574,26895,41107,287402,482405,1991,30625,2014
CONNECTICUT,1551,25459,70655,115724,319427,511,12873,2014
DELAWARE,575,4673,41046,19137,62812,128,3316,2014
DEPARTMENT OF DEFENSE EDUCATION ACTIVITY,–,–,–,–,–,–,–,2014
DISTRICT OF COLUMBIA,88,1129,57483,11215,6910,85,1243,2014
FLORIDA,9096,70455,623058,815243,1112972,3539,86381,2014
GEORGIA,3733,61100,637740,228901,736619,2005,53811,2014
GUAM,13,8402,70,55,211,23917,746,2014
HAWAII,751,59762,3869,18660,25456,59741,18586,2014
IDAHO,3871,3893,3161,51051,227636,1014,5850,2014
ILLINOIS,6164,92419,362760,509126,1030764,2183,63574,2014
INDIANA,2579,19902,128865,106330,742176,660,46873,2014
IOWA,1985,11200,26745,48769,397414,887,15964,2014
KANSAS,5024,13231,35511,91469,327215,844,23146,2014
KENTUCKY,865,9944,72929,35812,537068,632,20139,2014
LOUISIANA,5241,10540,316473,34334,332809,618,11476,2014
MAINE,1512,2798,5844,3327,167309,182,3023,2014
MARYLAND,2598,52553,301996,118204,354426,1261,35131,2014
MASSACHUSETTS,2209,58455,82990,162647,620628,1007,27803,2014
MICHIGAN,11297,45560,283322,104907,1058335,1422,43998,2014
MINNESOTA,14722,54213,82447,69577,601247,532,28235,2014
MISSISSIPPI,1016,4857,242946,14345,223607,176,5639,2014
MISSOURI,3991,17679,151159,49192,672129,1798,22340,2014
MONTANA,16297,1185,1351,5951,115286,322,3737,2014
NEBRASKA,4383,7105,20522,53309,211878,379,10101,2014
NEVADA,4784,25265,44798,183229,162618,5995,25142,2014
NEW HAMPSHIRE,572,5608,3522,8232,163922,140,4314,2014
NEW JERSEY,2001,127327,220307,331155,670565,3022,15918,2014
NEW MEXICO,34185,3933,6401,205964,83482,399,4880,2014
NEW YORK,15872,240228,496248,670006,1269833,0,40583,2014
NORTH CAROLINA,20556,41590,390455,218127,770454,1749,56948,2014
NORTH DAKOTA,9078,1407,3271,3817,84588,241,1545,2014
NORTHERN MARIANAS,0,4260,1,7,67,6045,258,2014
OHIO,2223,33206,280171,78202,1252086,1068,77155,2014
OKLAHOMA,102186,12561,62614,102080,352362,1883,48162,2014
OREGON,9586,22919,14745,133098,378322,4031,30299,2014
PENNSYLVANIA,2621,60360,264886,166332,1213031,1333,46673,2014
PUERTO RICO,196,32,64,423315,310,17,0,2014
RHODE ISLAND,932,4176,11493,33240,87354,241,4572,2014
SOUTH CAROLINA,2422,10537,261583,55660,391739,914,22802,2014
SOUTH DAKOTA,15040,2257,3532,5916,100589,119,3437,2014
TENNESSEE,1790,17479,227513,77748,651812,934,16280,2014
TEXAS,20240,189944,653221,2668994,1517819,6804,96680,2014
U.S. VIRGIN ISLANDS,16,68,11739,2784,228,13,105,2014
UTAH,7179,10700,8088,100258,477524,9314,12398,2014
VERMONT,249,1687,1697,1424,81259,55,2319,2014
VIRGINIA,4051,80696,296347,166303,664517,1821,60090,2014
WASHINGTON,14700,75911,47752,223177,615943,10184,71269,2014
WEST VIRGINIA,326,1966,13177,3891,256010,92,5496,2014
WISCONSIN,10912,31659,85220,91832,632868,722,21201,2014
WYOMING,3107,842,1133,12149,73601,105,1795,2014
ALABAMA,6566,10442,247246,50727,413630,671,14507,2016
ALASKA,30547,7866,4191,8820,63782,3592,13679,2016
