,STATE,YEAR,TOTAL_JAIL_ADM,ASIAN_JAIL_POP,BLACK_JAIL_POP,LATINO_JAIL_POP,NATIVE_JAIL_POP,WHITE_JAIL_POP,ASIAN_PRISON_POP,BLACK_PRISON_POP,LATINO_PRISON_POP,NATIVE_PRISON_POP,OTHER_PRISON_POP,WHITE_PRISON_POP
456,UTAH,2003,55404.0,0.8111239860950173,4.9826187717265356,22.827346465816916,1.4194669756662803,71.00231749710314,3.25801366263794,8.82816605359958,17.787703625853915,0.9721492380451918,0.34156594850236466,68.812401471361
457,UTAH,2004,51306.0,0.9478672985781991,5.655608214849921,24.075829383886255,2.0537124802527646,60.91627172195893,3.6225533158048497,9.523809523809524,18.813905930470348,0.993280747881975,0.32135553607946243,66.72509494595384
458,UTAH,2005,48046.0,0.7023411371237459,6.120401337792642,24.782608695652176,3.444816053511706,65.91973244147157,3.842986549547077,8.729069448256931,23.689267087565195,1.2352456766401316,0.21959923140269008,62.28383200658798
459,UTAH,2006,58783.0,1.1680382267056013,6.158747013538625,22.56437483408548,1.6193257233873108,62.83514733209451,3.776290630975143,8.365200764818356,22.108030592734227,1.1233269598470363,0.19120458891013384,64.43594646271511
460,UTAH,2007,72672.0,0.9149511332917446,5.302557704304429,21.563734664171346,2.204200457475567,66.06363069245165,3.541793159279498,7.8931390406800235,22.161505768063144,1.0524185387573366,0.34405990690143695,65.00708358631856
461,UTAH,2008,49788.0,1.4193548387096775,6.193548387096774,26.483870967741936,3.032258064516129,56.225806451612904,3.9955910719206393,8.983190961697437,24.524662441443922,1.1297878203361806,0.468448608432075,60.89831909616974
462,UTAH,2009,42655.0,0.8499413833528723,6.682297772567409,29.279015240328256,2.168815943728019,55.86166471277843,3.7263910158244005,9.086268504338948,24.323634507401735,1.1485451761102603,0.5104645227156712,61.20469627360898
463,UTAH,2010,50154.0,4.545454545454546,10.276679841897234,39.41276115189159,1.6657255787690572,39.01750423489554,3.6869826937547026,8.402307499372961,25.232004013042385,1.0283421118635565,0.6521193880110359,60.99824429395535
464,UTAH,2011,61591.0,2.5781079309591433,6.83854052873061,29.582696089141358,3.2117107275507975,70.76687786759886,3.921143847487002,8.123916811091854,24.436741767764296,0.7582322357019065,0.47660311958405543,62.28336221837088
465,UTAH,2012,51377.0,1.2205506670451318,2.4127164348566565,26.312801589554358,3.349418109565711,63.298325290945215,3.985148514851485,7.871287128712871,25.495049504950494,0.8415841584158417,0.7673267326732673,61.039603960396036
466,UTAH,2013,50898.0,2.6099706744868034,6.598240469208211,25.63049853372434,3.401759530791789,56.83284457478006,4.0150564617314926,8.255959849435383,25.947302383939775,0.8531994981179424,0.8281053952321205,60.10037641154329
467,UTAH,2014,58246.0,3.0303030303030303,6.67693888032871,24.370826913199796,2.8505392912172574,75.24396507447355,3.908505440817233,7.328447701532312,22.85143237841439,1.1325782811459029,0.6884299355984899,64.09060626249166
468,UTAH,2015,66370.0,2.2323571771483435,6.86509841574652,23.13970235237638,3.0244839174267883,68.72299567930868,3.875619648490311,6.894997746732763,23.16358720144209,0.9914375844975214,1.3970256872465074,63.6773321315908
469,VIRGINIA,2001,147858.0,0.7617931438617052,55.356968453950586,4.072663346029886,0.12696552397695088,39.632776638343586,0.5411696246726797,57.10212394530113,1.2336339831248182,0.0,0.08728542333430317,41.03578702356707
470,VIRGINIA,2002,164687.0,0.7921359037984348,52.09009352929949,6.050773048291658,0.13361328497804922,39.06279824393968,0.5219751539826704,58.94665413926297,1.3049378849566762,0.0,0.06263701847792046,39.163795803319765
471,VIRGINIA,2003,170720.0,0.8675014321957606,52.30378918078402,7.079139045748424,0.11457566085604387,40.5270480399378,0.5110235070813257,57.249233464739376,1.8980873120163526,0.0,0.08273713924173845,40.258918576921204
472,VIRGINIA,2004,283501.0,0.7889413351314902,52.83209710047202,5.832771409305463,0.13486176668914363,40.0944032366824,0.4855678446182897,60.15646074993256,1.8921731087903195,0.0,0.08092797410304828,37.38487032255578
473,VIRGINIA,2005,158386.0,0.6610576923076923,47.19551282051282,7.992788461538461,0.15024038461538464,44.12059294871795,0.41485169052063886,53.37066998548019,2.274770103021503,0.027656779368042592,0.09679872778814907,43.81525271382147
474,VIRGINIA,2006,137756.0,0.815397743434152,50.753768844221106,7.727315824405044,0.2844410732909832,37.94443917701716,0.5191974873405552,58.6052176142555,1.8844945836805331,0.0,0.10896737388628934,38.88212294083713
475,VIRGINIA,2007,171304.0,0.6012470308788599,47.08283847980997,8.291270783847981,0.15587885985748218,37.76722090261283,0.5187571670398078,56.418937366897836,1.9385136242013872,0.021842407033255067,0.10921203516627533,40.99273739966144
476,VIRGINIA,2008,197835.0,0.6058610470859401,49.311820875864335,9.759631215014817,0.11853803095159697,35.199209746460326,0.38167938931297707,60.14545079430575,1.85166082112647,0.0,0.14441922838869403,37.476789766866105
477,VIRGINIA,2009,99849.0,0.5546451531576957,47.17004916172948,3.9329383587545697,0.16387243161477374,44.132106391024834,0.27437530622244,52.87604115629594,1.5384615384615385,0.0,0.0881920627143557,45.21313081822636
478,VIRGINIA,2010,103624.0,0.363832367605444,50.2492925481741,3.8000269505457487,0.17517854736558416,47.13650451421641,0.28583095140873827,52.72560228664761,1.6129032258064515,0.0,0.13270722743977134,45.23274806043283
479,VIRGINIA,2011,100385.0,0.3365744203440539,45.69932685115931,3.8519072550486166,0.14958863126402394,47.30740463724757,0.28406308159467136,50.37711822901362,1.665197374865315,0.0,0.17631501616220982,47.50710157703987
480,VIRGINIA,2012,107489.0,0.3389830508474576,48.429378531073446,3.6045197740112993,0.12429378531073447,48.38418079096045,0.26666666666666666,52.12873563218391,1.682758620689655,0.0,0.20229885057471264,45.728735632183906
481,VIRGINIA,2013,115579.0,0.25955875012478785,42.74732953978237,3.6937206748527505,0.12977937506239393,51.29280223619846,0.29841116219049924,50.45568190983144,1.9195096378740222,0.0,0.25808532946205337,47.06831196064199
482,WASHINGTON,2001,181604.0,2.513507164669955,20.401691331923892,3.2652102419544278,3.229974160206718,72.3044397463002,2.3322629711002194,25.595741085009294,8.678384316376542,3.53219536927497,0.8450228156160215,59.01639344262295
483,WASHINGTON,2002,179841.0,2.614935538798346,21.503283872537096,3.9649720262709804,3.004135246898565,68.37752371685721,2.378481231620827,27.953641238540044,7.922504756962463,3.43366199619443,1.0897768552153606,57.22193392146687
484,WASHINGTON,2003,190734.0,2.5681405208964265,19.551786795881284,8.285887341005452,3.5614778921865535,67.45003028467596,1.9873532068654018,25.942350332594234,7.5716514740904985,3.6626426870329314,1.3550135501355014,59.48098874928143
485,WASHINGTON,2004,210290.0,2.610059370449199,18.550464881819202,5.556177887308166,2.934916545311975,67.27904111123559,1.6265647252829623,23.731354471179074,7.5556554980885995,3.710366539239937,1.8514354246308373,61.52462334157859
486,WASHINGTON,2005,200489.0,3.2251035083896276,19.49226410982785,8.139028110699499,4.467204183918065,64.66550446720419,0.9249229230897426,23.606366136155323,9.665861178235147,3.8580118323473043,3.1664027997666864,58.7784351304058
487,WASHINGTON,2006,178133.0,2.6184400310662377,20.215244646621546,8.776212138022856,4.216132253411739,60.84544546765783,0.9820102327116685,23.659019640204654,9.67156296418551,3.862023436210596,3.069813500577653,58.755570226109924
488,WASHINGTON,2007,244001.0,3.0093870789618995,19.160684704583105,9.304251794588625,4.491073071967605,62.48849622676238,1.0535738878942296,22.407381903319102,9.482164991048064,4.1178900977826745,2.9197080291970803,60.019281090758845
489,WASHINGTON,2008,244650.0,2.648883949245161,18.3476891729184,10.678892284893953,5.177364082615541,61.40594609613782,1.1955476157757317,21.884018139343137,9.413219733406624,4.211900508451285,3.050707709220833,60.24460629380239
490,WASHINGTON,2009,224713.0,2.5180844245032508,18.03864115007783,10.044867686109331,4.477611940298507,54.3723102280011,1.160502205632847,21.635561588055648,9.331523583305055,4.173736002714625,3.101459110960299,60.59721750933152
491,WASHINGTON,2010,191974.0,2.689534203858897,17.959462093159228,10.212434223348275,4.52153576300916,57.99064509842135,1.1719553149201563,21.36248372284285,10.897128366801454,4.214927009800562,3.27599204989377,59.07751353574121
492,WASHINGTON,2011,192048.0,3.237286189874871,20.12398117322925,8.896797153024911,5.062564573527724,63.827344736540006,1.2014983391052372,21.803661036115628,9.99363912644003,4.106297264824369,3.3924658986500815,59.502438334864664
493,WASHINGTON,2012,196333.0,2.4215339846185824,17.511951777177302,9.062564955310746,4.14674703803783,63.385990438578254,1.1667810569663692,21.036376115305423,10.60398078242965,3.953328757721345,3.3836650652024707,59.85586822237474
494,WASHINGTON,2013,201203.0,3.2236270630248045,17.063989962358846,10.944889489431523,4.9416079529002985,59.936299584982144,1.1514494716878896,21.261175833107558,10.972636141966946,3.982660525602818,3.5627201300460576,59.06935789758872
495,WASHINGTON,2014,207847.0,3.1061612342903855,18.320220700929806,8.255849596403392,5.037294370082763,64.97394502912026,1.1518395555254421,20.692458838674707,11.355782912121418,4.180500033877634,3.6113557829121214,59.00806287688868
496,WEST_VIRGINIA,2001,5089.0,0.20242914979757085,10.728744939271255,0.8097165991902834,0.20242914979757085,75.10121457489879,0.0,6.0324825986078885,0.0,0.0,1.6241299303944314,92.34338747099768
497,WEST_VIRGINIA,2002,5021.0,0.0,14.500941619585687,0.7532956685499058,0.18832391713747645,90.58380414312617,0.0,6.122448979591836,0.0,0.0,2.2448979591836733,91.63265306122449
498,WEST_VIRGINIA,2003,11062.0,0.12903225806451613,17.032258064516128,1.4193548387096775,0.12903225806451613,87.87096774193547,0.0,9.448818897637794,0.39370078740157477,0.0,2.7559055118110236,87.53280839895014
499,WEST_VIRGINIA,2004,13231.0,0.12048192771084339,16.265060240963855,1.3253012048192772,0.24096385542168677,90.36144578313254,0.0,9.367681498829041,0.351288056206089,0.0,3.0444964871194378,87.35362997658079
500,WEST_VIRGINIA,2005,9752.0,0.10050251256281408,18.492462311557787,1.0050251256281406,0.20100502512562815,82.8140703517588,0.0,9.292502639915522,0.42238648363252373,0.0,3.2734952481520594,87.0116156282999
501,WEST_VIRGINIA,2006,16603.0,0.1519756838905775,15.045592705167174,1.7477203647416413,0.1519756838905775,80.01519756838906,0.0,8.569182389937106,0.3144654088050315,0.0,2.9874213836477987,88.12893081761007
502,WEST_VIRGINIA,2007,18743.0,0.09587727708533077,15.052732502396932,2.013422818791946,0.19175455417066153,85.90604026845638,0.0,6.506238859180035,0.53475935828877,0.0,2.13903743315508,90.81996434937611
503,WEST_VIRGINIA,2008,16577.0,0.15337423312883436,15.874233128834355,2.377300613496933,0.23006134969325154,81.6717791411043,0.0,10.61293984108967,0.6242905788876276,0.0,2.09988649262202,86.66288308740067
504,WEST_VIRGINIA,2009,19128.0,0.15384615384615385,14.692307692307693,2.0,0.23076923076923078,82.23076923076923,0.0,8.63075924724205,0.32446463335496434,0.0,3.4393251135626217,87.60545100584037
505,WEST_VIRGINIA,2010,18829.0,0.4576659038901602,15.484363081617087,2.059496567505721,0.2288329519450801,89.62623951182303,0.0,10.800438596491228,0.7675438596491228,0.0,3.453947368421053,84.97807017543859
