,STATE,YEAR,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL
237,NORTH CAROLINA,2005,36646,8672459.0,40650.0,353855.0
238,NORTH DAKOTA,2005,1318,634605.0,706.0,12848.0
239,OHIO,2005,45189,11470685.0,40162.0,420705.0
240,OKLAHOMA,2005,22907,3543442.0,18044.0,143406.0
241,OREGON,2005,12887,3638871.0,10444.0,160199.0
242,PENNSYLVANIA,2005,41941,12405348.0,52761.0,300444.0
243,RHODE ISLAND,2005,3414,1073579.0,2710.0,29287.0
244,SOUTH CAROLINA,2005,22456,4246933.0,32590.0,185606.0
245,SOUTH DAKOTA,2005,3346,774883.0,1387.0,13694.0
246,TENNESSEE,2005,19270,5955745.0,45104.0,256093.0
247,TEXAS,2005,157081,22928508.0,121091.0,990293.0
248,UTAH,2005,5058,2490334.0,5612.0,95546.0
249,VERMONT,2005,2078,622387.0,782.0,14749.0
250,VIRGINIA,2005,30722,7564327.0,21434.0,200404.0
251,WASHINGTON,2005,16781,6291899.0,21745.0,307661.0
252,WEST VIRGINIA,2005,4036,1814083.0,4968.0,47757.0
253,WISCONSIN,2005,21921,5527644.0,13367.0,147556.0
254,WYOMING,2005,2096,508798.0,1172.0,16070.0
256,ALABAMA,2006,24103,4599030.0,19553.0,181249.0
257,ALASKA,2006,5052,670053.0,4610.0,23975.0
258,ARIZONA,2006,35752,6166318.0,33456.0,294389.0
259,ARKANSAS,2006,12854,2810872.0,15538.0,112025.0
260,CALIFORNIA,2006,172298,36457549.0,194483.0,1159988.0
261,COLORADO,2006,22051,4753377.0,18794.0,163439.0
262,CONNECTICUT,2006,18902,3504809.0,10505.0,90638.0
263,DELAWARE,2006,7021,853476.0,5983.0,29670.0
264,FLORIDA,2006,90377,18089888.0,129602.0,721101.0
265,GEORGIA,2006,52792,9363941.0,44754.0,362712.0
266,HAWAII,2006,5510,1285498.0,3608.0,54247.0
267,IDAHO,2006,6665,1466465.0,3666.0,35135.0
268,ILLINOIS,2006,45106,12831970.0,69498.0,387478.0
269,INDIANA,2006,24901,6313520.0,20303.0,217783.0
270,IOWA,2006,8838,2982085.0,8521.0,84202.0
271,KANSAS,2006,8833,2764075.0,11960.0,104260.0
272,KENTUCKY,2006,15589,4206074.0,11361.0,109428.0
273,LOUISIANA,2006,20815,4287768.0,30923.0,174975.0
274,MAINE,2006,2083,1321574.0,1533.0,33658.0
275,MARYLAND,2006,22662,5615727.0,38111.0,195484.0
276,MASSACHUSETTS,2006,10773,6437193.0,32217.0,153943.0
277,MICHIGAN,2006,51515,10095643.0,56981.0,325594.0
278,MINNESOTA,2006,8814,5167101.0,16042.0,159276.0
279,MISSISSIPPI,2006,16384,2910540.0,9076.0,92853.0
280,MISSOURI,2006,30116,5842713.0,31897.0,224007.0
281,MONTANA,2006,2948,944632.0,3564.0,26986.0
282,NEBRASKA,2006,4399,1768331.0,5197.0,59411.0
283,NEVADA,2006,12754,2495529.0,18687.0,102338.0
284,NEW HAMPSHIRE,2006,2676,1314895.0,1785.0,26060.0
285,NEW JERSEY,2006,25554,8724560.0,30550.0,198820.0
286,NEW MEXICO,2006,6639,1954599.0,12797.0,76000.0
287,NEW YORK,2006,63538,19306183.0,84016.0,398577.0
288,NORTH CAROLINA,2006,37725,8856505.0,42088.0,364549.0
289,NORTH DAKOTA,2006,1337,635867.0,1255.0,13359.0
290,OHIO,2006,48482,11478006.0,41491.0,423334.0
291,OKLAHOMA,2006,22873,3579212.0,17905.0,129728.0
292,OREGON,2006,13191,3700758.0,10534.0,137858.0
293,PENNSYLVANIA,2006,43971,12440621.0,55028.0,304589.0
294,RHODE ISLAND,2006,3713,1067610.0,2460.0,27914.0
295,SOUTH CAROLINA,2006,22930,4321249.0,33322.0,184712.0
296,SOUTH DAKOTA,2006,3316,781919.0,2071.0,13812.0
297,TENNESSEE,2006,19312,6038803.0,46043.0,249860.0
298,TEXAS,2006,158510,23507783.0,121602.0,959846.0
299,UTAH,2006,5031,2550063.0,5771.0,89572.0
300,VERMONT,2006,2215,623908.0,905.0,14920.0
301,VIRGINIA,2006,30823,7642884.0,21683.0,190257.0
302,WASHINGTON,2006,16827,6395798.0,22303.0,288456.0
303,WEST VIRGINIA,2006,4367,1818470.0,5113.0,47941.0
304,WISCONSIN,2006,22564,5556506.0,15899.0,156748.0
305,WYOMING,2006,2035,515004.0,1307.0,15381.0
307,ALABAMA,2007,25253,4627851.0,20775.0,184082.0
308,ALASKA,2007,5151,683478.0,4520.0,23096.0
309,ARIZONA,2007,37700,6338755.0,32835.0,287308.0
310,ARKANSAS,2007,13275,2834797.0,15226.0,112130.0
311,CALIFORNIA,2007,171444,36553215.0,191561.0,1112510.0
312,COLORADO,2007,22666,4861515.0,17101.0,145808.0
313,CONNECTICUT,2007,19438,3502309.0,10547.0,86528.0
314,DELAWARE,2007,7110,864764.0,6100.0,29216.0
