,STATE,YEAR,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,4TH_ENROLLED,8TH_ENROLLED,TOTAL_ENROLLMENT,4_AVG_MATH_SCORE,8_AVG_MATH_SCORE,4_AVG_RDG_SCORE,8_AVG_RDG_SCORE,PRISONER_COUNT,STATE_POPULATION,VIOLENT_CRIME_TOTAL,PROPERTY_CRIME_TOTAL,TOTAL_JAIL_ADM,ASIAN_JAIL_POP,BLACK_JAIL_POP,LATINO_JAIL_POP,NATIVE_JAIL_POP,WHITE_JAIL_POP,ASIAN_PRISON_POP,BLACK_PRISON_POP,LATINO_PRISON_POP,NATIVE_PRISON_POP,OTHER_PRISON_POP,WHITE_PRISON_POP
259,NEBRASKA,2014,4008633.0,2371149.0,22921.0,22374.0,288684.0,,,,,5228,1881503.0,5275.0,47479.0,35568.0,0.7306380905991232,35.26546517291768,16.95080370189966,3.4096444227959086,48.75791524598149,0.7212292254625274,39.07180934462214,10.849796174349326,3.7002195045468795,0.8780181875195987,44.77892756349953
260,NEBRASKA,2015,4283846.0,2446701.0,23366.0,22656.0,292640.0,243.86366690000003,286.4985635,226.6346109,266.8763518,5133,1896190.0,5212.0,42495.0,32780.0,0.4048582995951417,32.69230769230769,15.637651821862347,4.048582995951417,47.97570850202429,0.9514747859181731,39.581351094196,11.259118300031716,3.679035838883603,1.0466222645099905,43.48239771646051
261,NEVADA,2001,2692840.0,1171360.0,29676.0,27028.0,329264.0,,,,,9862,2097722.0,12359.0,77486.0,124085.0,1.7149857084524296,28.868926092282564,20.538995508370764,0.9187423438138016,47.121273989383425,1.6395592864637987,28.83001049317943,16.369359916054567,1.3641133263378804,1.0230849947534104,50.77387198321092
262,NEVADA,2002,2913023.0,1343669.0,29953.0,29242.0,341498.0,,,,,10101,2167455.0,13856.0,83896.0,129970.0,1.5661252900232019,26.798143851508122,24.535962877030162,2.0301624129930396,52.0108275328693,1.8153213118722014,29.10565170035096,17.08822461575699,1.343337770785429,0.9439670821735447,49.71559966114002
263,NEVADA,2003,3009028.0,1406660.0,30653.0,31392.0,356215.0,227.5135983,268.0431377,206.95968269999997,261.59573190000003,10584,2242207.0,13813.0,96128.0,119899.0,2.3888780105737224,30.29175641276679,23.75171333463873,0.9986293322890151,49.363618562757,1.9546169400134803,29.352954392271403,17.71512019770838,1.3143113906987194,0.8762075937991464,48.798022916198605
264,NEVADA,2004,3228619.0,1544881.0,31950.0,32472.0,369666.0,,,,,11033,2332898.0,14379.0,98215.0,152127.0,2.4527616279069764,33.26671511627907,19.549418604651162,1.1082848837209303,54.48764534883721,2.1127508228049687,29.88639983013059,18.19726085571717,1.2527869200552075,0.8174965495275508,47.733305021764515
265,NEVADA,2005,3483540.0,1665706.0,32222.0,33502.0,381408.0,229.8715955,269.9055855,207.1869744,273.7160629,11662,2412301.0,14654.0,102424.0,140108.0,1.8820577164366372,28.54454203262233,22.976787954830616,1.0978670012547052,45.26348808030113,2.216259193003379,30.043728880938183,18.694096601073344,1.2323593718942556,0.7652554164182072,47.04830053667263
266,NEVADA,2006,4022979.0,1840698.0,32711.0,33586.0,391927.0,,,,,12754,2495529.0,18687.0,102338.0,152987.0,1.8752858667479797,30.03506632108553,22.793108705595365,1.0367434060070133,43.375514560146364,2.3166744511910324,30.182157870154136,19.12190565156469,1.2050443717888837,0.7192900513778608,46.4549276039234
267,NEVADA,2007,4346371.0,2047045.0,33760.0,34121.0,396462.0,231.7816005,270.8040244,210.8190091,260.31770609999995,13311,2565382.0,19365.0,97118.0,149095.0,2.3694466095089637,29.742790335151987,23.95946999220577,1.4341387373343726,43.25798908807482,2.362136343899262,29.900130264871905,19.461571862787668,1.21580547112462,0.668693009118541,46.391663048198
268,NEVADA,2008,4881218.0,2094491.0,34099.0,34394.0,400895.0,,,,,12877,2600167.0,18973.0,90006.0,155544.0,1.8214637348211355,25.828683951427635,21.956022317033145,1.0666229077781424,33.77092221857565,2.3130901845274194,31.066447197435675,20.194057004244996,1.1522134627046696,1.1002339079961883,44.17395824309105
269,NEVADA,2009,4577881.0,2145779.0,33664.0,33291.0,396431.0,235.1522739,274.1485417,211.140589,269.73982010000003,12570,2643085.0,18639.0,80976.0,161949.0,1.750160565189467,24.470134874759154,23.538856775850995,1.0597302504816954,35.051380860629415,2.518672919923571,30.554108042383188,21.18290776446066,1.4156678825777316,1.0074691679694285,43.32117422268543
270,NEVADA,2010,4260869.0,2117135.0,34047.0,33070.0,404048.0,,,,,12192,2704283.0,17929.0,75004.0,161193.0,1.7743979721166032,24.28707224334601,23.685044359949302,1.0139416983523446,36.850443599493026,2.482898403851026,29.52453340089519,21.830926442023475,1.579258508571911,1.2921205979224728,43.29026264673592
